prenom,nom,login,ECTSacquis,Moyenne,Choix1,Choix2,Choix3,Choix4,Choix5,Choix6,Choix7,Choix8,mdp,dateNaissance,adresse,numero,rôle
Pénélope,Marty,PénélopeMarty@cy-tech.fr,30,16,038,IAC,VISUA,CS,ICC,INEM,BI,IAP,HPDA,BhCdbrhl,13/09/1995,,Etudiant
Alfred,Ramos,AlfredRamos@cy-tech.fr,30,15,958,CS,IAC,ICC,INEM,BI,IAP,HPDA,VISUA,Ci28xYyS,21/09/1996,,Etudiant
Philippine,Normand,PhilippineNormand@cy-tech.fr,30,15,873,CS,IAC,IAP,VISUA,HPDA,INEM,BI,ICC,H6t2vYmC,24/12/1995,,Etudiant
Luc,Dufour-Gallet,LucDufour-Gallet@cy-tech.fr,30,15,779,HPDA,IAC,IAP,ICC,CS,VISUA,BI,INEM,edXfCN1d,18/10/1995,,Etudiant
Corinne,Gros,CorinneGros@cy-tech.fr,30,15,758,IAC,VISUA,BI,INEM,CS,IAP,HPDA,ICC,5Drh5ICH,09/10/1996,,Etudiant
Isabelle,Dijoux,IsabelleDijoux@cy-tech.fr,30,15,746,CS,ICC,IAC,INEM,HPDA,IAP,VISUA,BI,0FQyEorl,27/05/1995,,Etudiant
Dominique,Gaillard,DominiqueGaillard@cy-tech.fr,30,15,715,IAC,CS,VISUA,IAP,INEM,BI,ICC,HPDA,vUo0TLD7,02/02/1996,,Etudiant
Pénélope,Ribeiro,PénélopeRibeiro@cy-tech.fr,30,15,709,VISUA,BI,IAC,CS,INEM,ICC,IAP,HPDA,YAmBnoPt,03/08/1995,,Etudiant
Zacharie,Marchal,ZacharieMarchal@cy-tech.fr,30,15,695,CS,INEM,ICC,VISUA,IAP,IAC,HPDA,BI,2gK7YnPZ,17/07/1995,,Etudiant
Marc,Guillou,MarcGuillou@cy-tech.fr,30,15,646,BI,IAC,CS,IAP,HPDA,ICC,VISUA,INEM,2FyG4Z2z,17/05/1995,,Etudiant
Benjamin,Masson,BenjaminMasson@cy-tech.fr,30,15,623,IAC,IAP,CS,BI,INEM,VISUA,ICC,HPDA,TrAMcdUa,24/10/1995,,Etudiant
Georges,Bonnet,GeorgesBonnet@cy-tech.fr,30,15,575,INEM,IAP,IAC,CS,HPDA,BI,ICC,VISUA,NhMbGCEI,27/08/1995,,Etudiant
Jérôme,Foucher,JérômeFoucher@cy-tech.fr,30,15,568,ICC,IAP,INEM,VISUA,IAC,CS,HPDA,BI,SpQRMGRP,13/06/1995,,Etudiant
Emmanuelle,Faure,EmmanuelleFaure@cy-tech.fr,30,15,567,IAC,CS,VISUA,INEM,BI,IAP,ICC,HPDA,lpwqpyZi,28/01/1995,,Etudiant
David,Louis,DavidLouis@cy-tech.fr,30,15,55,CS,IAC,VISUA,INEM,ICC,HPDA,BI,IAP,0z5cN0nA,28/09/1996,,Etudiant
Andrée,Rocher,AndréeRocher@cy-tech.fr,30,15,535,IAC,CS,IAP,VISUA,INEM,HPDA,ICC,BI,i9MYMrHE,07/10/1996,,Etudiant
Gérard,Guerin,GérardGuerin@cy-tech.fr,30,15,527,IAP,HPDA,IAC,ICC,INEM,VISUA,CS,BI,RxwDdotz,06/05/1996,,Etudiant
Caroline,Bailly,CarolineBailly@cy-tech.fr,30,15,491,IAC,BI,VISUA,INEM,IAP,HPDA,ICC,CS,NZZcyZvy,05/07/1995,,Etudiant
Christelle,Lucas,ChristelleLucas@cy-tech.fr,30,15,474,CS,ICC,BI,INEM,IAC,IAP,VISUA,HPDA,zBLmB8XT,27/02/1996,,Etudiant
Hugues,Morel,HuguesMorel@cy-tech.fr,30,15,468,VISUA,ICC,IAP,CS,INEM,IAC,HPDA,BI,iJS4bzJ2,24/11/1996,,Etudiant
Thibault-Charles,Blanc,Thibault-CharlesBlanc@cy-tech.fr,30,15,448,CS,IAC,BI,INEM,IAP,VISUA,ICC,HPDA,7gGkEaUs,14/07/1996,,Etudiant
Étienne-Gilbert,Allard,Étienne-GilbertAllard@cy-tech.fr,30,15,348,IAP,IAC,ICC,VISUA,INEM,CS,HPDA,BI,9UFITbhs,16/12/1995,,Etudiant
Zacharie,Bernard,ZacharieBernard@cy-tech.fr,30,15,305,INEM,ICC,CS,IAP,HPDA,IAC,BI,VISUA,M3OobMiu,02/04/1996,,Etudiant
daisy,Lopez,daisyLopez@cy-tech.fr,30,15,276,ICC,IAP,HPDA,CS,IAC,INEM,VISUA,BI,wazHJjKQ,01/02/1995,,Etudiant
Émile-Olivier,Legendre,Émile-OlivierLegendre@cy-tech.fr,30,15,221,IAC,IAP,BI,INEM,VISUA,HPDA,CS,ICC,zqbeA6GK,22/03/1995,,Etudiant
Claire,Leclerc,ClaireLeclerc@cy-tech.fr,30,15,212,IAP,ICC,IAC,CS,INEM,VISUA,BI,HPDA,0mtUxKmj,09/03/1995,,Etudiant
Raymond,Bonnet,RaymondBonnet@cy-tech.fr,30,15,208,CS,ICC,IAP,INEM,IAC,VISUA,BI,HPDA,ObIZY0uu,07/02/1996,,Etudiant
Clémence,Leblanc,ClémenceLeblanc@cy-tech.fr,30,15,206,CS,BI,IAC,ICC,INEM,VISUA,IAP,HPDA,a3bUmVKW,17/11/1996,,Etudiant
Gilbert,Marin,GilbertMarin@cy-tech.fr,30,15,169,IAC,CS,VISUA,BI,INEM,IAP,ICC,HPDA,mWaX2QH3,11/01/1996,,Etudiant
Noémi,Humbert-Barbe,NoémiHumbert-Barbe@cy-tech.fr,30,15,128,CS,BI,IAC,HPDA,VISUA,INEM,IAP,ICC,caXKVk3K,06/04/1996,,Etudiant
Étienne,de,Étiennede@cy-tech.fr,30,15,089,CS,INEM,HPDA,VISUA,IAC,ICC,BI,IAP,vLJtMeYW,16/03/1995,,Etudiant
Philippine,de,Philippinede@cy-tech.fr,30,15,056,INEM,VISUA,CS,ICC,IAP,IAC,BI,HPDA,h9QE5BAs,22/09/1996,,Etudiant
Juliette,Thibault,JulietteThibault@cy-tech.fr,30,15,004,IAC,IAP,VISUA,CS,INEM,HPDA,ICC,BI,xLpAC7DP,15/01/1996,,Etudiant
François,de,Françoisde@cy-tech.fr,30,14,982,VISUA,ICC,IAP,INEM,IAC,CS,BI,HPDA,iAzeUDYq,08/03/1996,,Etudiant
Léon,du,Léondu@cy-tech.fr,30,14,927,IAP,IAC,ICC,HPDA,INEM,VISUA,BI,CS,oIUbWS7e,29/07/1995,,Etudiant
Maurice,Alves,MauriceAlves@cy-tech.fr,30,14,918,INEM,VISUA,IAC,CS,HPDA,BI,IAP,ICC,1YT7zuA7,12/11/1995,,Etudiant
Marie,Blanc,MarieBlanc@cy-tech.fr,30,14,894,CS,IAC,INEM,BI,ICC,IAP,HPDA,VISUA,fZHR7kGp,01/08/1996,,Etudiant
Denise-Alexandrie,Clement,Denise-AlexandrieClement@cy-tech.fr,30,14,88,IAC,IAP,CS,BI,HPDA,INEM,ICC,VISUA,VgDPTBgi,30/08/1996,,Etudiant
Luc,Ribeiro,LucRibeiro@cy-tech.fr,30,14,854,CS,INEM,VISUA,IAC,ICC,IAP,HPDA,BI,jatg2Au4,14/06/1996,,Etudiant
Charlotte,du,Charlottedu@cy-tech.fr,30,14,849,CS,IAC,VISUA,INEM,BI,ICC,IAP,HPDA,ync8RMf7,06/03/1995,,Etudiant
Michèle,du,Michèledu@cy-tech.fr,30,14,835,IAP,HPDA,ICC,IAC,INEM,CS,VISUA,BI,MWYThFic,02/02/1995,,Etudiant
Hortense,Maillet,HortenseMaillet@cy-tech.fr,30,14,732,IAC,CS,VISUA,BI,IAP,ICC,HPDA,INEM,VW2Pxi7R,27/04/1995,,Etudiant
Françoise,Chauveau,FrançoiseChauveau@cy-tech.fr,30,14,724,VISUA,INEM,IAP,IAC,CS,HPDA,ICC,BI,sA7ubCyK,31/10/1995,,Etudiant
Jeanne,Le,JeanneLe@cy-tech.fr,30,14,689,IAC,CS,INEM,IAP,BI,HPDA,ICC,VISUA,ZKSRx8Yj,15/07/1995,,Etudiant
Louis,Giraud,LouisGiraud@cy-tech.fr,30,14,683,BI,INEM,IAC,CS,VISUA,HPDA,IAP,ICC,4XcmDvyy,24/05/1995,,Etudiant
Hugues,Lemaire,HuguesLemaire@cy-tech.fr,30,14,65,CS,ICC,INEM,IAC,VISUA,BI,IAP,HPDA,rBnZTvQl,17/08/1995,,Etudiant
Yves,Roy-Perret,YvesRoy-Perret@cy-tech.fr,30,14,635,INEM,CS,IAC,BI,VISUA,IAP,ICC,HPDA,5YQhAp1z,10/05/1995,,Etudiant
Isaac,Riou,IsaacRiou@cy-tech.fr,30,14,633,CS,IAC,INEM,BI,VISUA,ICC,IAP,HPDA,aUrH2q17,26/09/1996,,Etudiant
Daniel,Mace-Carre,DanielMace-Carre@cy-tech.fr,30,14,632,HPDA,IAC,VISUA,IAP,CS,INEM,ICC,BI,ndt0J2za,19/02/1996,,Etudiant
Laurence,Normand,LaurenceNormand@cy-tech.fr,30,14,573,IAP,HPDA,ICC,IAC,BI,VISUA,CS,INEM,DX9wsZSy,05/07/1996,,Etudiant
Antoine,Etienne,AntoineEtienne@cy-tech.fr,30,14,559,CS,INEM,VISUA,BI,IAC,HPDA,ICC,IAP,YJPy8Q8i,09/09/1996,,Etudiant
Éric,Le,ÉricLe@cy-tech.fr,30,14,557,VISUA,INEM,IAP,CS,IAC,ICC,HPDA,BI,Kz0NZ1Un,22/09/1995,,Etudiant
Lucas,Rolland,LucasRolland@cy-tech.fr,30,14,549,HPDA,IAP,IAC,BI,VISUA,CS,ICC,INEM,fnnYpX83,10/07/1995,,Etudiant
Frédérique,Barre-Vallee,FrédériqueBarre-Vallee@cy-tech.fr,30,14,522,CS,IAC,BI,VISUA,INEM,IAP,HPDA,ICC,UizmisVg,31/12/1995,,Etudiant
Laurence,Bailly,LaurenceBailly@cy-tech.fr,30,14,516,INEM,IAP,IAC,ICC,CS,VISUA,BI,HPDA,bKOjBWCm,23/10/1995,,Etudiant
Noémi,Evrard,NoémiEvrard@cy-tech.fr,30,14,495,IAP,ICC,HPDA,IAC,BI,CS,INEM,VISUA,wD9wE3TU,28/09/1995,,Etudiant
Thibault,Faivre,ThibaultFaivre@cy-tech.fr,30,14,348,ICC,IAP,HPDA,IAC,CS,BI,VISUA,INEM,qhSQe1U9,08/03/1996,,Etudiant
Suzanne,de,Suzannede@cy-tech.fr,30,14,33,IAC,IAP,VISUA,CS,HPDA,INEM,ICC,BI,jtwBWrS7,28/11/1996,,Etudiant
Eugène,Dumas,EugèneDumas@cy-tech.fr,30,14,321,IAC,BI,CS,VISUA,INEM,IAP,ICC,HPDA,bGrMD489,04/09/1995,,Etudiant
Michelle,Vidal,MichelleVidal@cy-tech.fr,30,14,318,CS,ICC,VISUA,INEM,BI,IAC,IAP,HPDA,HiFmlzgM,07/04/1995,,Etudiant
René,Gomez,RenéGomez@cy-tech.fr,30,14,276,CS,IAC,BI,INEM,IAP,ICC,HPDA,VISUA,Q9D5axeu,24/03/1996,,Etudiant
Denise,Lebreton,DeniseLebreton@cy-tech.fr,30,14,272,IAC,VISUA,CS,INEM,BI,IAP,HPDA,ICC,0K6XcY4n,17/11/1995,,Etudiant
David,Godard-Clerc,DavidGodard-Clerc@cy-tech.fr,30,14,256,IAP,ICC,IAC,INEM,VISUA,CS,BI,HPDA,FwaiAjrh,16/01/1995,,Etudiant
François,Leroux,FrançoisLeroux@cy-tech.fr,30,14,251,IAC,IAP,CS,BI,ICC,HPDA,INEM,VISUA,B7DXGUJx,28/04/1995,,Etudiant
Célina,Cordier,CélinaCordier@cy-tech.fr,30,14,246,ICC,CS,IAP,IAC,BI,VISUA,INEM,HPDA,3mDeTSJU,11/02/1995,,Etudiant
Marcelle,Turpin,MarcelleTurpin@cy-tech.fr,30,14,244,CS,IAC,INEM,ICC,IAP,BI,HPDA,VISUA,CPRPOWdu,14/08/1995,,Etudiant
Benjamin,Guillou,BenjaminGuillou@cy-tech.fr,30,14,225,ICC,INEM,CS,IAP,IAC,VISUA,BI,HPDA,snM2Hekj,08/03/1996,,Etudiant
Lucas,Renault-Jean,LucasRenault-Jean@cy-tech.fr,30,14,207,IAC,BI,ICC,CS,VISUA,IAP,INEM,HPDA,lXh2R0AV,11/09/1996,,Etudiant
Gabriel,du,Gabrieldu@cy-tech.fr,30,14,198,ICC,IAP,HPDA,CS,IAC,VISUA,INEM,BI,nd9g6TbI,02/05/1995,,Etudiant
Anaïs,de,Anaïsde@cy-tech.fr,30,14,185,VISUA,CS,INEM,IAC,BI,ICC,HPDA,IAP,J3xx0L1s,10/09/1995,,Etudiant
Agathe,Techer,AgatheTecher@cy-tech.fr,30,14,182,CS,IAC,BI,ICC,INEM,VISUA,IAP,HPDA,8OvQ2Pao,15/11/1996,,Etudiant
Étienne,du,Étiennedu@cy-tech.fr,30,14,17,CS,IAC,INEM,VISUA,BI,ICC,IAP,HPDA,NrrFs2AP,03/06/1995,,Etudiant
Andrée,Richard,AndréeRichard@cy-tech.fr,30,14,137,IAP,CS,IAC,HPDA,INEM,ICC,BI,VISUA,gK6mEi5n,04/01/1996,,Etudiant
Antoinette,Chevallier,AntoinetteChevallier@cy-tech.fr,30,14,125,CS,INEM,BI,IAC,VISUA,IAP,HPDA,ICC,lDUmoWOx,04/10/1995,,Etudiant
Alphonse,Le,AlphonseLe@cy-tech.fr,30,14,121,BI,IAC,CS,VISUA,HPDA,IAP,ICC,INEM,LknN9ycW,16/12/1995,,Etudiant
Lucas,Maillard,LucasMaillard@cy-tech.fr,30,13,923,BI,INEM,CS,IAC,VISUA,IAP,ICC,HPDA,0DCtFdjV,26/05/1996,,Etudiant
André,Leleu,AndréLeleu@cy-tech.fr,30,13,798,CS,INEM,IAC,ICC,BI,VISUA,IAP,HPDA,YpiCInZ4,20/05/1996,,Etudiant
Emmanuel,Riou,EmmanuelRiou@cy-tech.fr,30,13,785,CS,IAC,VISUA,INEM,BI,IAP,ICC,HPDA,0UqoQfVB,23/04/1996,,Etudiant
David,Lesage,DavidLesage@cy-tech.fr,30,13,775,VISUA,CS,IAC,ICC,INEM,IAP,BI,HPDA,zjpISBFS,11/03/1996,,Etudiant
Grégoire,Dubois,GrégoireDubois@cy-tech.fr,30,13,753,CS,VISUA,INEM,IAC,ICC,BI,IAP,HPDA,fimUvFQt,29/07/1995,,Etudiant
Paulette,Leclercq,PauletteLeclercq@cy-tech.fr,30,13,729,ICC,IAP,IAC,VISUA,INEM,CS,BI,HPDA,495Nw4Rw,16/11/1995,,Etudiant
Thierry,Faure,ThierryFaure@cy-tech.fr,30,13,724,IAP,HPDA,BI,ICC,IAC,VISUA,INEM,CS,YhVPwQr5,08/12/1995,,Etudiant
Pierre,Boyer,PierreBoyer@cy-tech.fr,30,13,718,INEM,CS,IAC,VISUA,IAP,BI,ICC,HPDA,aRO2tuVI,18/04/1996,,Etudiant
Éric,Benard-Charpentier,ÉricBenard-Charpentier@cy-tech.fr,30,13,689,IAC,CS,ICC,IAP,VISUA,INEM,BI,HPDA,MhDhWuL1,24/05/1996,,Etudiant
Marcelle,Gauthier-Martineau,MarcelleGauthier-Martineau@cy-tech.fr,30,13,572,ICC,INEM,IAP,CS,IAC,VISUA,BI,HPDA,DQO9VGGU,07/12/1996,,Etudiant
Christiane,Delmas,ChristianeDelmas@cy-tech.fr,30,13,454,CS,IAC,INEM,VISUA,ICC,BI,IAP,HPDA,YBJvsbBC,27/02/1995,,Etudiant
Corinne,Cousin,CorinneCousin@cy-tech.fr,30,13,436,CS,ICC,IAP,IAC,INEM,HPDA,BI,VISUA,3pFwUBeG,11/03/1995,,Etudiant
William,du,Williamdu@cy-tech.fr,30,13,426,BI,INEM,CS,VISUA,IAC,IAP,HPDA,ICC,SRYPlJRY,03/03/1996,,Etudiant
Renée,Maurice,RenéeMaurice@cy-tech.fr,30,13,418,INEM,IAP,IAC,VISUA,CS,HPDA,ICC,BI,AG8vmOpk,14/02/1995,,Etudiant
Zacharie,Weber,ZacharieWeber@cy-tech.fr,30,13,371,ICC,CS,IAP,HPDA,INEM,BI,IAC,VISUA,q9QSkrvo,12/11/1995,,Etudiant
Louis,Rousseau,LouisRousseau@cy-tech.fr,30,13,354,VISUA,INEM,IAC,BI,CS,IAP,ICC,HPDA,RaULL8sE,08/06/1996,,Etudiant
Philippe,Hamel,PhilippeHamel@cy-tech.fr,30,13,291,ICC,IAP,CS,IAC,VISUA,HPDA,INEM,BI,0qulalkK,08/05/1996,,Etudiant
Élise,Mercier,ÉliseMercier@cy-tech.fr,30,13,287,HPDA,IAC,IAP,CS,VISUA,INEM,ICC,BI,1sfohEIH,28/09/1996,,Etudiant
Bernard,Chauvet,BernardChauvet@cy-tech.fr,30,13,278,IAP,IAC,ICC,INEM,CS,VISUA,HPDA,BI,Nzz805wR,23/06/1996,,Etudiant
Théodore,Pasquier,ThéodorePasquier@cy-tech.fr,30,13,274,CS,IAC,VISUA,IAP,ICC,HPDA,BI,INEM,frC1z4Gz,02/09/1996,,Etudiant
Adèle,Begue,AdèleBegue@cy-tech.fr,30,13,236,IAC,BI,INEM,IAP,HPDA,CS,VISUA,ICC,uaVFwfpy,08/11/1996,,Etudiant
Adrien,Dumont,AdrienDumont@cy-tech.fr,30,13,209,INEM,CS,VISUA,ICC,IAP,IAC,HPDA,BI,IEW0jFH7,24/02/1995,,Etudiant
Gilbert,Ferrand-Texier,GilbertFerrand-Texier@cy-tech.fr,30,13,16,CS,ICC,IAP,IAC,INEM,VISUA,BI,HPDA,ehgemM5C,28/11/1995,,Etudiant
Anastasie,Rocher,AnastasieRocher@cy-tech.fr,30,13,151,IAP,ICC,HPDA,IAC,BI,CS,INEM,VISUA,dIDNMknh,09/08/1996,,Etudiant
Franck,Le,FranckLe@cy-tech.fr,30,13,115,ICC,IAP,CS,IAC,INEM,HPDA,BI,VISUA,viW2ylAg,26/06/1995,,Etudiant
Michel,Renault,MichelRenault@cy-tech.fr,30,13,111,HPDA,IAP,IAC,CS,ICC,BI,INEM,VISUA,0wgjbYqq,07/08/1996,,Etudiant
Margaud-Laure,Wagner,Margaud-LaureWagner@cy-tech.fr,30,13,095,ICC,INEM,IAP,HPDA,IAC,VISUA,CS,BI,fGEBtKdH,13/07/1996,,Etudiant
Suzanne,de,Suzannede@cy-tech.fr,30,13,063,CS,IAC,INEM,BI,VISUA,IAP,ICC,HPDA,tRvfcSxH,26/11/1995,,Etudiant
David,Ferrand,DavidFerrand@cy-tech.fr,30,13,017,CS,INEM,BI,ICC,IAC,IAP,HPDA,VISUA,auJIQkZQ,30/08/1995,,Etudiant
François,Duhamel,FrançoisDuhamel@cy-tech.fr,30,13,014,CS,ICC,IAP,VISUA,INEM,IAC,BI,HPDA,Qga2eBtu,06/05/1995,,Etudiant
Franck,Blot-Barbier,FranckBlot-Barbier@cy-tech.fr,30,12,99,CS,IAC,VISUA,IAP,ICC,HPDA,INEM,BI,i85LSjtl,09/11/1996,,Etudiant
Benjamin,Martins,BenjaminMartins@cy-tech.fr,30,12,989,IAC,IAP,VISUA,CS,INEM,HPDA,ICC,BI,bYBoR961,11/02/1995,,Etudiant
Hugues,du,Huguesdu@cy-tech.fr,30,12,979,IAP,HPDA,IAC,ICC,CS,INEM,VISUA,BI,DQKuaJk1,22/09/1996,,Etudiant
Joséphine,Pons-Alves,JoséphinePons-Alves@cy-tech.fr,30,12,961,IAC,VISUA,CS,ICC,BI,INEM,IAP,HPDA,0v3e6xIo,22/03/1996,,Etudiant
Diane,Martin,DianeMartin@cy-tech.fr,30,12,893,ICC,CS,INEM,VISUA,HPDA,BI,IAP,IAC,FOay8ETk,22/04/1996,,Etudiant
Auguste,Fournier,AugusteFournier@cy-tech.fr,30,12,886,IAC,VISUA,BI,HPDA,ICC,IAP,INEM,CS,CvItEOvi,10/05/1995,,Etudiant
Théodore,Louis,ThéodoreLouis@cy-tech.fr,30,12,877,IAC,IAP,CS,VISUA,HPDA,ICC,BI,INEM,EgMOZ7P0,24/02/1995,,Etudiant
Chantal,Joubert,ChantalJoubert@cy-tech.fr,30,12,875,INEM,IAC,VISUA,CS,IAP,ICC,BI,HPDA,DTeJqX85,18/04/1995,,Etudiant
Inès,Bouvet,InèsBouvet@cy-tech.fr,30,12,822,IAC,INEM,VISUA,CS,IAP,HPDA,BI,ICC,LjDUXxeA,25/08/1996,,Etudiant
Sylvie,Le,SylvieLe@cy-tech.fr,30,12,802,CS,IAC,INEM,VISUA,BI,IAP,HPDA,ICC,3W4ILA0p,18/07/1996,,Etudiant
Anouk-Pénélope,Ollivier,Anouk-PénélopeOllivier@cy-tech.fr,30,12,756,INEM,CS,IAC,VISUA,BI,IAP,ICC,HPDA,QNeQV3Qy,13/04/1995,,Etudiant
Olivie,Evrard,OlivieEvrard@cy-tech.fr,30,12,689,INEM,CS,IAC,VISUA,BI,IAP,ICC,HPDA,X5io2ruO,22/10/1996,,Etudiant
Augustin,Roche,AugustinRoche@cy-tech.fr,30,12,601,VISUA,CS,IAC,INEM,HPDA,IAP,ICC,BI,K8IIGWjJ,26/09/1996,,Etudiant
Marcelle,du,Marcelledu@cy-tech.fr,30,12,394,IAC,CS,IAP,BI,ICC,HPDA,INEM,VISUA,TorEYs4O,14/06/1996,,Etudiant
Antoine,Loiseau,AntoineLoiseau@cy-tech.fr,30,12,307,IAC,BI,VISUA,ICC,INEM,CS,HPDA,IAP,fiFamvJj,06/12/1996,,Etudiant
Jérôme,Pottier,JérômePottier@cy-tech.fr,30,12,294,CS,BI,IAC,HPDA,ICC,INEM,VISUA,IAP,A1ICscrc,27/08/1995,,Etudiant
Julie,Lesage,JulieLesage@cy-tech.fr,30,12,279,VISUA,INEM,IAC,CS,IAP,BI,HPDA,ICC,k9V06eK0,10/12/1995,,Etudiant
Jacques,Guibert,JacquesGuibert@cy-tech.fr,30,12,247,IAP,IAC,VISUA,INEM,HPDA,ICC,CS,BI,CcEBEJqU,02/05/1996,,Etudiant
Paulette-Valérie,Albert,Paulette-ValérieAlbert@cy-tech.fr,30,12,222,ICC,IAP,HPDA,CS,IAC,INEM,BI,VISUA,155nAOHb,14/06/1995,,Etudiant
Antoine,Lefort-Letellier,AntoineLefort-Letellier@cy-tech.fr,30,12,126,INEM,CS,IAP,IAC,BI,HPDA,ICC,VISUA,PqOhCfuX,22/06/1995,,Etudiant
Josette,de,Josettede@cy-tech.fr,30,11,888,CS,BI,IAC,INEM,VISUA,HPDA,IAP,ICC,pqYvFIvi,22/01/1996,,Etudiant
Pénélope,Deschamps,PénélopeDeschamps@cy-tech.fr,30,11,881,IAC,IAP,HPDA,CS,ICC,VISUA,INEM,BI,UaTzTjtV,11/05/1995,,Etudiant
Thérèse,Meyer,ThérèseMeyer@cy-tech.fr,30,11,74,CS,INEM,IAC,ICC,IAP,VISUA,BI,HPDA,ozjZn1bd,15/08/1995,,Etudiant
Marcel,Guyot,MarcelGuyot@cy-tech.fr,30,11,629,CS,INEM,IAC,IAP,HPDA,ICC,BI,VISUA,rZv4e01E,08/01/1995,,Etudiant
Daniel,Bernard,DanielBernard@cy-tech.fr,30,11,59,IAP,ICC,VISUA,BI,IAC,CS,INEM,HPDA,qZ95IFnD,06/01/1995,,Etudiant
Julie,Fernandez,JulieFernandez@cy-tech.fr,30,11,349,ICC,CS,HPDA,IAP,IAC,INEM,VISUA,BI,PhdJAHEZ,07/02/1996,,Etudiant
Hugues,Lesage,HuguesLesage@cy-tech.fr,30,11,169,INEM,IAC,CS,IAP,ICC,VISUA,BI,HPDA,gYYDZ9Rq,14/08/1996,,Etudiant
Zoé,Guibert-Huet,ZoéGuibert-Huet@cy-tech.fr,30,11,063,INEM,BI,VISUA,CS,ICC,HPDA,IAC,IAP,9muomw2M,19/07/1996,,Etudiant
Augustin,Gauthier,AugustinGauthier@cy-tech.fr,15,14,286,INEM,CS,VISUA,IAP,IAC,ICC,BI,HPDA,wcSeRgSH,22/01/1995,,Etudiant
Luce,Le,LuceLe@cy-tech.fr,15,13,628,ICC,INEM,CS,BI,VISUA,IAP,IAC,HPDA,x5q7M563,02/05/1995,,Etudiant
Stéphane,Boulanger,StéphaneBoulanger@cy-tech.fr,15,12,471,CS,INEM,ICC,IAP,IAC,HPDA,BI,VISUA,45G3fyup,21/11/1996,,Etudiant
Alfred,Loiseau,AlfredLoiseau@cy-tech.fr,15,12,233,IAC,CS,HPDA,VISUA,BI,INEM,IAP,ICC,UYNgvP31,01/12/1996,,Etudiant
Brigitte,Le,BrigitteLe@cy-tech.fr,15,12,217,VISUA,CS,IAC,INEM,BI,IAP,ICC,HPDA,1WgTc8AJ,13/06/1995,,Etudiant
Alice,Guillot,AliceGuillot@cy-tech.fr,15,12,06,CS,VISUA,INEM,IAC,IAP,BI,ICC,HPDA,e1R07Y4b,02/09/1996,,Etudiant
